Gene_acc,Gene_id,SMp1,SMp2,SMp3,SMp4,NST1p1,NST1p2,NST1p3,NST1p4,Desc
0,Tb927.5.4450,22895.0,26920.0,24564.0,17972.0,21491.0,18283.0,20974.0,17997.0,"hypothetical protein, conserved"
1,Tb927.5.4460,4724300.0,5388300.0,4734300.0,4926000.0,3921000.0,3967600.0,3987000.0,3902900.0,"major vault protein, putative"
2,Tb927.5.4470,272410.0,273340.0,258640.0,242860.0,222050.0,232690.0,245530.0,222310.0,"hypothetical protein, conserved"
3,Tb927.5.4480,1403100.0,1548400.0,1437700.0,1407600.0,1234800.0,1200400.0,1127100.0,1285600.0,"paraflagellar rod component par4, putative"
4,Tb927.5.4500,2729800.0,3386400.0,2771300.0,2793200.0,2648400.0,2504700.0,2437300.0,2541400.0,"ras-like small GTPase, putative"
5,Tb927.5.4520,104090.0,105270.0,104130.0,110060.0,88267.0,95616.0,92886.0,94731.0,Kinetochore interacting protein 1
6,Tb927.5.4360,112170.0,115370.0,120580.0,117300.0,88971.0,89065.0,81025.0,88278.0,"hypothetical protein, conserved"
7,Tb927.5.4560,3651100.0,4077000.0,3747600.0,4075700.0,3406800.0,3451300.0,3463800.0,3235500.0,"guanine deaminase, putative"
8,Tb05.5K5.210,40362.0,53371.0,54705.0,52834.0,45842.0,36093.0,48757.0,44353.0,hypothetical protein
9,Tb927.5.4580,26162.0,23592.0,22936.0,21005.0,16489.0,19533.0,19818.0,15595.0,Flagellum adhesion protein 3
10,Tb927.9.15940,26134.0,24956.0,20398.0,25174.0,15363.0,14623.0,17666.0,14845.0,"expression site-associated gene 3 (ESAG3) protein, putative"
11,Tb927.5.4380,1352000.0,1440600.0,1290400.0,1487600.0,1179500.0,1219400.0,1225900.0,1209300.0,Kinetoplastid-specific Protein Phosphatase 1
12,Tb927.5.4390,51672.0,68512.0,49663.0,53321.0,48725.0,69385.0,55083.0,58867.0,"hypothetical protein, conserved"
13,Tb927.5.4400,73772.0,91909.0,81697.0,84540.0,59356.0,68005.0,66676.0,70529.0,"hypothetical protein, conserved"
14,Tb927.5.4410,132630.0,140130.0,122690.0,140080.0,114590.0,122890.0,109950.0,96943.0,"hypothetical protein, conserved"
15,Tb927.5.4420,2147400.0,2425200.0,2054800.0,2440700.0,1784200.0,1769400.0,1727500.0,1714000.0,"nucleolar RNA helicase II, putative"
16,Tb927.5.4430,39799.0,40085.0,42701.0,45762.0,35077.0,35294.0,46344.0,34987.0,"calcium/calmodulin-dependent protein kinase, putative"
17,Tb927.5.4440,636370.0,740980.0,646910.0,713270.0,635200.0,634780.0,614470.0,622900.0,"dynein light chain, putative"
18,Tb06.3A7.960,843770.0,951280.0,829070.0,963930.0,631390.0,699510.0,705130.0,763250.0,hypothetical protein
19,Tb927.7.2140,3357.3,2905.9,5344.0,5510.2,3630.1,2868.2,4137.9,4727.2,"zinc finger protein family member, putative"
20,Tb09.v4.0013,24532.0,24046.0,20266.0,23283.0,19879.0,17195.0,17073.0,18584.0,"retrotransposon hot spot (RHS) protein, putative"
21,Tb09.v4.0015,6717.6,7277.6,3250.3,5858.2,3722.2,4911.3,4065.1,4335.0,hypothetical protein
22,Tb09.v4.0016,262450.0,307070.0,286170.0,278290.0,225280.0,208430.0,219860.0,219300.0,"expression site- associated gene (ESAG) protein, putative"
23,Tb09.v4.0030,8159.4,9359.3,7264.3,8983.3,7241.7,6764.6,5530.9,6424.4,"variant surface glycoprotein (VSG), putative"
24,Tb09.v4.0067,193140.0,194540.0,201970.0,132240.0,229840.0,221430.0,224170.0,215210.0,"retrotransposon hot spot protein, pseudogene"
26,Tb927.9.1130,119010.0,97411.0,117370.0,101790.0,101520.0,90645.0,117840.0,103030.0,"variant surface glycoprotein (VSG, pseudogene), putative"
28,Tb09.v4.0107,230370.0,349320.0,331000.0,288910.0,230030.0,211020.0,220730.0,275370.0,"expression site-associated gene 5 (ESAG5) protein, putative"
29,Tb09.v4.0109,242230.0,259230.0,222870.0,248880.0,224530.0,198550.0,210910.0,191960.0,hypothetical protein
30,Tb09.v4.0137,47197.0,41059.0,28040.0,50194.0,47376.0,41372.0,29250.0,38399.0,"variant surface glycoprotein, fragment"
31,Tb09.v4.0150,38804.0,39889.0,42247.0,35689.0,27229.0,26731.0,35974.0,33054.0,"variant surface glycoprotein (VSG, pseudogene), putative"
33,Tb927.10.4430,704630.0,796660.0,704470.0,783680.0,616110.0,653740.0,590560.0,596320.0,pumillo RNA binding protein PUF1
34,Tb927.10.4440,46737.0,47518.0,38728.0,43364.0,50128.0,46382.0,38251.0,42702.0,predicted SAP domain protein
35,Tb10.v4.0035,1638300.0,1774600.0,1457500.0,1623500.0,1430200.0,1633100.0,1462000.0,1515000.0,"stress-inducible protein STI1-like, putative"
36,Tb927.10.4460,107040.0,104620.0,108250.0,95966.0,71961.0,59920.0,59540.0,69883.0,"leucine carboxyl methyltransferase, putative"
37,Tb927.10.4470,28637.0,34748.0,30609.0,29774.0,22405.0,21137.0,27437.0,26760.0,"hypothetical protein, conserved"
38,Tb927.10.4490,347020.0,409540.0,358760.0,356920.0,312540.0,299770.0,305600.0,307140.0,"hypothetical protein, conserved"
39,Tb927.10.4500,545850.0,597200.0,511640.0,621910.0,447210.0,455370.0,486200.0,459640.0,cap guanine-N7 methyltransferase
40,Tb10.v4.0041,208280.0,207170.0,208790.0,209920.0,201800.0,207530.0,177900.0,186720.0,"PUB domain containing protein, putative"
41,Tb927.10.4330,16220.0,11066.0,11477.0,11767.0,7940.5,8086.6,12366.0,14534.0,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
42,Tb927.10.4320,214640.0,244740.0,235180.0,233840.0,178190.0,169830.0,164610.0,161260.0,"hypothetical protein, conserved"
43,Tb927.10.4310,997860.0,1110600.0,901180.0,1061700.0,793530.0,827490.0,777230.0,792360.0,"prohibitin 2, putative"
44,Tb10.v4.0052,101370.0,122530.0,113630.0,117460.0,102970.0,108330.0,113880.0,100270.0,microtubule-associated protein 2
51,Tb10.v4.0213,89188.0,98360.0,90135.0,93723.0,61664.0,67630.0,58998.0,57254.0,"expression site-associated protein 1 (ESAG1), putative"
52,Tb10.v4.0216,63875.0,72828.0,55842.0,67098.0,66295.0,65206.0,60470.0,59719.0,"variant surface glycoprotein (VSG, pseudogene), putative"
53,Tb10.v4.0240,849240.0,1011500.0,847000.0,872990.0,765590.0,777330.0,727880.0,754710.0,"variant surface glycoprotein (VSG, pseudogene), putative /product"
54,Tb927.10.6900,32615.0,42469.0,36452.0,32455.0,31697.0,33723.0,36018.0,31604.0,base J-associated glucosyltransferase
55,Tb927.10.6950,93289.0,98050.0,94576.0,108850.0,88880.0,99794.0,96685.0,104190.0,"sterol 24-c-methyltransferase, putative"
56,Tb11.01.2730,111730.0,103560.0,101210.0,116500.0,90085.0,104660.0,99717.0,95856.0,"hypothetical protein, conserved"
58,Tb11.02.5070b,31891.0,34264.0,29841.0,35289.0,26205.0,28556.0,25219.0,21286.0,"hypothetical protein, conserved"
